# emoji	name	group	subgroup	version	codes	terms
😀	grinning face	Smileys & Emotion	face-smiling	1.0	bucuoa,bca,oo,nn,zhenhao,zh,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningface,grinning,face,smileysemotion,facesmiling	不错啊|哦哦|嗯嗯|噢噢|真好|开心|高兴|快乐|笑脸|表情|情感|微笑
😃	grinning face with big eyes	Smileys & Emotion	face-smiling	0.6	wa,wao,wo,jingxi,jx,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningfacewithbigeyes,grinning,face,big,eyes,grinningface,facebig,bigeyes,smileysemotion,facesmiling	哇|哇哦|惊喜|开心|高兴|快乐|笑脸|表情|情感|微笑
😄	grinning face with smiling eyes	Smileys & Emotion	face-smiling	0.6	ha,haha,hh,xiao,xiaole,xl,kaixin,kx,gaoxing,gx,kuaile,kl,xiaolian,weixiao,wx,biaoqing,bq,qinggan,qg,grinningfacewithsmilingeyes,grinning,face,smiling,eyes,grinningface,facesmiling,smilingeyes,smileysemotion	哈|哈哈|笑|笑了|开心|高兴|快乐|笑脸|微笑|表情|情感
😁	beaming face with smiling eyes	Smileys & Emotion	face-smiling	0.6	ciya,cy,liezui,lz,xixi,xx,haoxie,hx,haoa,ha,xiaolian,xl,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,qinggan,qg,beamingfacewithsmilingeyes,beaming,face,smiling,eyes,beamingface,facesmiling,smilingeyes,smileysemotion	呲牙|咧嘴|嘻嘻|好㖿|好啊|笑脸|开心|高兴|快乐|微笑|表情|情感
😆	grinning squinting face	Smileys & Emotion	face-smiling	0.6	haohaoxiao,hhx,haowan,hw,haoxiao,hx,zhenhaowan,zhw,kaixin,kx,gaoxing,gx,kuaile,kl,daxiao,dx,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningsquintingface,grinning,squinting,face,grinningsquinting,squintingface,smileysemotion,facesmiling	好好笑|好玩|好笑|真好玩|开心|高兴|快乐|大笑|笑脸|表情|情感|微笑
😅	grinning face with sweat	Smileys & Emotion	face-smiling	0.6	jiong,haojiong,hj,ganga,gg,kuxiao,kx,liuhan,lh,kaixin,gaoxing,gx,kuaile,kl,xiaolian,xl,biaoqing,bq,qinggan,qg,weixiao,wx,grinningfacewithsweat,grinning,face,sweat,grinningface,facesweat,smileysemotion,facesmiling	囧|好囧|好窘|窘|尴尬|苦笑|流汗|开心|高兴|快乐|笑脸|表情|情感|微笑
🤣	rolling on the floor laughing	Smileys & Emotion	face-smiling	3.0	hahaha,hhh,hahahaha,hhhh,daxiao,dx,kuangxiao,kx,xiaosi,xs,haha,hh,kuaile,kl,xiao,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,rollingonthefloorlaughing,rolling,floor,laughing,rollingfloor,floorlaughing,smileysemotion,facesmiling	哈哈哈|哈哈哈哈|大笑|狂笑|笑死|哈哈|快乐|笑|表情|笑脸|情感|微笑|开心
😂	face with tears of joy	Smileys & Emotion	face-smiling	0.6	kuxiao,kx,haojiujie,hjj,xiaoku,xk,jiujie,jj,daxiao,dx,kuaile,kl,kaixin,xiyue,xy,yanlei,yl,ku,nanguo,ng,cha,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,facewithtearsofjoy,face,tears,joy,facetears,tearsjoy,smileysemotion,facesmiling	哭笑|好纠结|笑哭|纠结|大笑|快乐|开心|喜悦|眼泪|哭|难过|茶|表情|笑脸|情感|微笑
🙂	slightly smiling face	Smileys & Emotion	face-smiling	1.0	xiawuhao,xwh,zhongwuhao,zwh,nihao,nh,hao,weixiao,wx,zaoshanghao,zsh,kaixin,kx,kuaile,kl,gaoxing,gx,biaoqing,bq,xiaolian,xl,qinggan,qg,slightlysmilingface,slightly,smiling,face,slightlysmiling,smilingface,smileysemotion,facesmiling	下午好|中午好|你好|好|微笑|早上好|开心|快乐|高兴|表情|笑脸|情感
🙃	upside-down face	Smileys & Emotion	face-smiling	1.0	shangxiadiandao,sxdd,hehe,hh,hunluan,hl,diandao,dd,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,upsidedownface,upside,down,face,upsidedown,downface,smileysemotion,facesmiling	上下颠倒|呵呵|混乱|颠倒|表情|笑脸|情感|微笑|开心|快乐
🫠	melting face	Smileys & Emotion	face-smiling	14.0	taire,tr,haore,hr,yanre,yr,ronghua,rh,re,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,meltingface,melting,face,smileysemotion,facesmiling	太热|好热|炎热|熔化|热|融化|表情|笑脸|情感|微笑|开心|快乐
😉	winking face	Smileys & Emotion	face-smiling	0.6	keyi,ky,haoba,hb,haode,hd,jiling,jl,xinga,xa,zhayan,zy,diaopi,dp,biaoqing,bq,xiaolian,xl,qinggan,qg,weixiao,wx,kaixin,kx,kuaile,kl,winkingface,winking,face,smileysemotion,facesmiling	可以|好吧|好的|机灵|行啊|眨眼|调皮|表情|笑脸|情感|微笑|开心|快乐
😊	smiling face with smiling eyes	Smileys & Emotion	face-smiling	0.6	haomeng,hm,xiaolian,xl,lianhong,lh,meng,maimeng,mm,gaoxing,gx,kaixin,kx,kuaile,kl,weixiao,wx,biaoqing,bq,qinggan,qg,smilingfacewithsmilingeyes,smiling,face,eyes,smilingface,facesmiling,smilingeyes,smileysemotion	好萌|笑脸|脸红|萌|卖萌|高兴|开心|快乐|微笑|表情|情感
😇	smiling face with halo	Smileys & Emotion	face-smiling	1.0	tiancai,tc,zhihui,zh,congming,cm,xingmu,xm,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhalo,smiling,face,halo,smilingface,facehalo,smileysemotion,facesmiling	天才|智慧|聪明|醒目|开心|高兴|快乐|微笑|表情|笑脸|情感
🥰	smiling face with hearts	Smileys & Emotion	face-affection	11.0	keai,ka,xihuan,xh,ai,aini,an,maimeng,mm,aixin,ax,xingfu,xf,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhearts,smiling,face,hearts,smilingface,facehearts,smileysemotion,faceaffection	可爱|喜欢|爱|爱你|卖萌|爱心|幸福|开心|高兴|快乐|微笑|表情|笑脸|情感
😍	smiling face with heart-eyes	Smileys & Emotion	face-affection	0.6	xihuan,xh,xihuanni,xhn,haochi,hc,xiangchi,xc,piaoliang,pl,meiwei,mw,meinv,mn,jingxia,jx,ai,aixin,ax,huachi,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,smilingfacewithhearteyes,smiling,face,heart,eyes,smilingface,faceheart,hearteyes,smileysemotion,faceaffection	喜欢|喜欢你|好吃|想吃|漂亮|美味|美女|靓瞎|爱|爱心|花痴|开心|高兴|快乐|微笑|表情|笑脸|情感
🤩	star-struck	Smileys & Emotion	face-affection	5.0	chuse,cs,lihai,lh,lezai,lz,lenv,ln,haojin,hj,haole,hl,haobang,hb,xingxingyan,xxy,bang,bangdai,bd,jingxi,jx,jingyan,jy,xingxing,xx,shoucang,sc,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,starstruck,star,struck,smileysemotion,faceaffection	出色|厉害|叻仔|叻女|好劲|好叻|好棒|星星眼|棒|棒呆|惊喜|惊艳|星星|收藏|表情|笑脸|情感|喜欢|爱|爱心
😘	face blowing a kiss	Smileys & Emotion	face-affection	0.6	wen,wenni,wn,jiewen,jw,qin,qinqin,qq,feiwen,fw,qinwen,qw,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,faceblowingakiss,face,blowing,kiss,faceblowing,blowingkiss,smileysemotion,faceaffection	吻|吻你|接吻|亲|亲亲|飞吻|亲吻|表情|笑脸|情感|喜欢|爱|爱心
😗	kissing face	Smileys & Emotion	face-affection	1.0	duzui,dz,juezui,jz,qin,qinwen,qw,qinqin,qq,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingface,kissing,face,smileysemotion,faceaffection	嘟嘴|噘嘴|撅嘴|亲|亲吻|亲亲|表情|笑脸|情感|喜欢|爱|爱心
☺️	smiling face	Smileys & Emotion	face-affection	0.6	xiangshou,xs,hanxu,hx,xihuan,xh,haixiu,shuang,lianhong,lh,shufu,sf,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,biaoqing,bq,xiaolian,xl,qinggan,qg,ai,aixin,ax,smilingface,smiling,face,smileysemotion,faceaffection	享受|含蓄|喜欢|害羞|爽|脸红|舒服|开心|高兴|快乐|微笑|表情|笑脸|情感|爱|爱心
😚	kissing face with closed eyes	Smileys & Emotion	face-affection	0.6	haixiu,hx,xiu,xiuse,xs,xiuxiu,xx,qinai,qa,qinqin,qq,qin,qinwen,qw,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingfacewithclosedeyes,kissing,face,closed,eyes,kissingface,faceclosed,closedeyes,smileysemotion,faceaffection	害羞|羞|羞涩|羞羞|亲爱|亲亲|亲|亲吻|表情|笑脸|情感|喜欢|爱|爱心
😙	kissing face with smiling eyes	Smileys & Emotion	face-affection	1.0	wenni,wn,qinyige,qyg,qinzui,qz,qin,qinwen,qw,duzui,dz,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,qinqin,qq,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,kissingfacewithsmilingeyes,kissing,face,smiling,eyes,kissingface,facesmiling,smilingeyes,smileysemotion,faceaffection	吻你|亲一个|亲嘴|亲|亲吻|嘟嘴|开心|高兴|快乐|微笑|亲亲|表情|笑脸|情感|喜欢|爱|爱心
🥲	smiling face with tear	Smileys & Emotion	face-affection	13.0	hehe,hh,jianqiang,jq,kaixin,kx,gaoxing,gx,kuaile,kl,weixiao,wx,yanlei,yl,ku,nanguo,ng,cha,biaoqing,bq,xiaolian,xl,qinggan,qg,xihuan,xh,ai,aixin,ax,smilingfacewithtear,smiling,face,tear,smilingface,facetear,smileysemotion,faceaffection	呵呵|坚强|开心|高兴|快乐|微笑|眼泪|哭|难过|茶|表情|笑脸|情感|喜欢|爱|爱心
😋	face savoring food	Smileys & Emotion	face-tongue	0.6	chiba,cb,haowei,hw,haochi,hc,meiwei,mw,kaifan,kf,ele,el,chan,chi,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,facesavoringfood,face,savoring,food,facesavoring,savoringfood,smileysemotion,facetongue	吃吧|好味|好吃|美味|开饭|饿了|馋|吃|表情|笑脸|情感|吐舌|调皮
😛	face with tongue	Smileys & Emotion	face-tongue	1.0	yibianqu,ybq,bukeneng,bkn,tushe,ts,tushetou,tst,pi,gun,gunduzi,gdz,diaopi,dp,biaoqing,bq,xiaolian,xl,qinggan,qg,facewithtongue,face,tongue,facetongue,smileysemotion	一边去|不可能|吐舌|吐舌头|屁|滚|滚犊子|调皮|表情|笑脸|情感
😜	winking face with tongue	Smileys & Emotion	face-tongue	0.6	zuonong,zn,wanxiao,wx,douniwan,dnw,kaiwanxiao,kwx,wanpi,wp,piannide,pnd,tushe,ts,diaopi,dp,zhayan,zy,biaoqing,bq,xiaolian,xl,qinggan,qg,winkingfacewithtongue,winking,face,tongue,winkingface,facetongue,smileysemotion	作弄|玩笑|逗你玩|开玩笑|顽皮|骗你的|吐舌|调皮|眨眼|表情|笑脸|情感
🤪	zany face	Smileys & Emotion	face-tongue	5.0	qie,che,waizui,wz,diaopi,dp,guilian,gl,fengkuang,fk,gaoguai,gg,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,zanyface,zany,face,smileysemotion,facetongue	切|呃|𪠳|歪嘴|调皮|鬼脸|疯狂|搞怪|表情|笑脸|情感|吐舌
😝	squinting face with tongue	Smileys & Emotion	face-tongue	0.6	buhaowan,bhw,bugan,bg,buhui,bh,buhuila,bhl,buxing,bx,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,squintingfacewithtongue,squinting,face,tongue,squintingface,facetongue,smileysemotion	不好玩|不干|不会|不会啦|不行|表情|笑脸|情感|吐舌|调皮
🤑	money-mouth face	Smileys & Emotion	face-tongue	1.0	shili,sl,xiangqiankan,xqk,weilishitu,wlst,geiqian,gq,caimi,cm,biaoqing,bq,xiaolian,xl,qinggan,qg,tushe,ts,diaopi,dp,moneymouthface,money,mouth,face,moneymouth,mouthface,smileysemotion,facetongue	势利|向钱看|唯利是图|给钱|财迷|表情|笑脸|情感|吐舌|调皮
